rikisfang,ar,n
Sankti Kitts og Nevis,1999,0
Mexíkó,1999,17
Nicaragua,1999,0
Panama,1999,1
Perú,1999,17
Puerto Rico,1999,1
Paraguay,1999,1
Súrinam,1999,0
El Salvador,1999,0
Trínidad og Tóbagó,1999,1
Uruguay,1999,2
Sankti Vinsent og Grenadínur,1999,0
Venesúela,1999,5
Angóla,1999,3
Búrkína Fasó,1999,0
Benín,1999,0
Botswana,1999,0
"Kongó, Lýðstjórnarlýðveldið",1999,0
"Kongó, Lýðveldið",1999,0
Côte d'Ivoire (Fílabeinsströndin),1999,0
Kamerún,1999,0
Cabo Verde (Grænhöfðaeyjar),1999,11
Djibútí,1999,0
Alsír,1999,10
Egyptaland,1999,6
Vestur-Sahara,1999,0
Eritrea,1999,0
Eþíópía,1999,3
Gabon,1999,0
Ghana,1999,7
Gambía,1999,2
Gínea,1999,0
Miðbaugs-Gínea,1999,0
Gínea-Bissaú,1999,1
Kenya,1999,3
Sankti Lúsía,1999,0
Líbería,1999,0
Lesótó,1999,0
Líbía,1999,0
Marokkó,1999,31
Madagaskar,1999,1
Malí,1999,0
Máritanía,1999,0
Máritíus,1999,1
Malaví,1999,0
Mósambík,1999,0
Namibía,1999,3
Níger,1999,0
Nígería,1999,11
Rwanda,1999,1
Seychelles-eyjar,1999,0
Súdan,1999,0
Síerra Leóne,1999,3
Senegal,1999,2
Sómalía,1999,1
Suður-Súdan,1999,0
Chad,1999,0
Tógó,1999,0
Túnis,1999,4
Tansanía,1999,0
Úganda,1999,1
Suður-Afríka,1999,23
Zambia,1999,2
Saír,1999,1
Zimbabwe,1999,1
Afganistan,1999,0
Armenía,1999,2
Azerbaijan,1999,0
Bangladesh,1999,0
Kína,1999,74
Georgía,1999,3
Indónesía,1999,4
Ísrael,1999,5
Indland,1999,13
Írak,1999,5
Íran,1999,6
Jórdanía,1999,3
Japan,1999,19
Kyrgyzstan,1999,1
Kambódía,1999,0
"Kórea, Norður-",1999,0
"Kórea, Suður-",1999,4
Kasakstan,1999,2
Laos,1999,0
Líbanon,1999,4
Srí Lanka,1999,17
Myanmar,1999,0
Mongólía,1999,15
Maldívur,1999,0
Malasía,1999,5
Nepal,1999,3
Óman,1999,0
Filippseyjar,1999,219
Pakistan,1999,7
Palestína,1999,0
Sádi-Arabía,1999,0
Singapore,1999,5
Sýrland,1999,5
Thailand,1999,257
Tadsíkistan,1999,0
Tímor-Leste,1999,0
Túrkmenistan,1999,0
Tyrkland,1999,4
Taiwan,1999,1
Úsbekistan,1999,0
Víetnam,1999,44
Jemen,1999,0
Ástralía,1999,23
Fiji,1999,0
Naúrú,1999,0
Nýja-Sjáland,1999,23
Papúa Nýja-Gínea,1999,0
Salómonseyjar,1999,0
Tonga,1999,0
Vanúatú,1999,0
"Útlönd, ótilgreint land",1999,0
Ríkisfangslaus,1999,2
Ísland,2000,144634
Danmörk,2000,609
Finnland,2000,75
Noregur,2000,217
Svíþjóð,2000,237
Austurríki,2000,28
Belgía,2000,24
Búlgaría,2000,32
Kýpur,2000,0
Tékkland,2000,37
Þýskaland,2000,263
Eistland,2000,18
Spánn,2000,78
Frakkland,2000,110
Bretland,2000,283
Grikkland,2000,4
Ungverjaland,2000,32
Írland,2000,35
Ítalía,2000,42
Litháen (Lietuva),2000,58
Lúxemborg,2000,1
Lettland,2000,12
Malta,2000,1
Holland (Niðurland),2000,87
Pólland,2000,1027
Portúgal,2000,67
Rúmenía,2000,21
Slóvenía,2000,11
Slóvakía,2000,15
Andorra,2000,0
Albanía,2000,7
Bosnia og Herzegovina,2000,27
Hvíta-Rússland,2000,9
Sviss,2000,21
Serbía og Svartfjallaland,2000,0
Króatía,2000,46
Liechtenstein,2000,0
Moldóva,2000,1
Montenegró (Svartfjallaland),2000,0
Norður Makedónía,2000,7
Serbía,2000,0
Rússland,2000,92
San Marínó,2000,0
Fyrrum Sovétríki,2000,1
Úkraína,2000,34
Kósovó,2000,0
Evrópa ótilgreint,2000,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2000,0
Júgóslavía (Serbía og Svartfjallaland),2000,214
Kanada,2000,61
Bandaríkin,2000,402
Antigua og Barbuda,2000,0
Argentína,2000,5
Barbados,2000,1
Bólivía,2000,5
Brasilía,2000,16
Bahamaeyjar,2000,0
Belize,2000,0
Chile,2000,20
Colombia,2000,19
Costa Rica,2000,5
Kúba,2000,8
Dóminíka,2000,0
Dóminíska lýðveldið,2000,3
Ekvador,2000,4
Grenada,2000,0
Guatemala,2000,3
Guyana,2000,7
Hondúras,2000,11
Haítí,2000,0
Jamaíka,2000,4
Sankti Kitts og Nevis,2000,0
Mexíkó,2000,14
Nicaragua,2000,0
Panama,2000,1
Perú,2000,22
Puerto Rico,2000,1
Paraguay,2000,0
Súrinam,2000,0
El Salvador,2000,1
Trínidad og Tóbagó,2000,2
Uruguay,2000,2
Sankti Vinsent og Grenadínur,2000,0
Venesúela,2000,5
Angóla,2000,4
Búrkína Fasó,2000,0
Benín,2000,0
Botswana,2000,0
"Kongó, Lýðstjórnarlýðveldið",2000,1
"Kongó, Lýðveldið",2000,1
Côte d'Ivoire (Fílabeinsströndin),2000,0
Kamerún,2000,0
Cabo Verde (Grænhöfðaeyjar),2000,10
Djibútí,2000,0
Alsír,2000,11
Egyptaland,2000,5
Vestur-Sahara,2000,0
Eritrea,2000,0
Eþíópía,2000,6
Gabon,2000,0
Ghana,2000,8
Gambía,2000,2
Gínea,2000,4
Miðbaugs-Gínea,2000,0
Gínea-Bissaú,2000,1
Kenya,2000,6
Sankti Lúsía,2000,0
Líbería,2000,0
Lesótó,2000,0
Líbía,2000,0
Marokkó,2000,32
Madagaskar,2000,1
Malí,2000,0
Máritanía,2000,0
Máritíus,2000,2
Malaví,2000,0
Mósambík,2000,0
Namibía,2000,5
Níger,2000,0
Nígería,2000,13
Rwanda,2000,1
Seychelles-eyjar,2000,0
Súdan,2000,0
Síerra Leóne,2000,4
Senegal,2000,3
Sómalía,2000,1
Suður-Súdan,2000,0
Chad,2000,0
Tógó,2000,0
Túnis,2000,4
Tansanía,2000,1
Úganda,2000,1
Suður-Afríka,2000,28
Zambia,2000,2
Saír,2000,0
Zimbabwe,2000,1
Afganistan,2000,0
Armenía,2000,2
Azerbaijan,2000,0
Bangladesh,2000,0
Kína,2000,86
Georgía,2000,4
Indónesía,2000,5
Ísrael,2000,3
Indland,2000,17
Írak,2000,7
Íran,2000,8
Jórdanía,2000,8
Japan,2000,23
Kyrgyzstan,2000,0
Kambódía,2000,0
"Kórea, Norður-",2000,0
"Kórea, Suður-",2000,6
Kasakstan,2000,2
Laos,2000,0
Líbanon,2000,2
Srí Lanka,2000,17
Myanmar,2000,0
Mongólía,2000,19
Maldívur,2000,0
Malasía,2000,7
Nepal,2000,10
Óman,2000,0
Filippseyjar,2000,281
Pakistan,2000,7
Palestína,2000,0
Sádi-Arabía,2000,0
Singapore,2000,5
Sýrland,2000,3
Thailand,2000,298
Tadsíkistan,2000,0
Tímor-Leste,2000,0
Túrkmenistan,2000,0
Tyrkland,2000,10
Taiwan,2000,2
Úsbekistan,2000,0
Víetnam,2000,58
Jemen,2000,0
Ástralía,2000,27
Fiji,2000,0
Naúrú,2000,0
Nýja-Sjáland,2000,21
Papúa Nýja-Gínea,2000,0
Salómonseyjar,2000,0
Tonga,2000,0
Vanúatú,2000,0
"Útlönd, ótilgreint land",2000,1
Ríkisfangslaus,2000,3
Ísland,2001,146908
Danmörk,2001,622
Finnland,2001,67
Noregur,2001,226
Svíþjóð,2001,238
Austurríki,2001,31
Belgía,2001,42
Búlgaría,2001,43
Kýpur,2001,0
Tékkland,2001,29
Þýskaland,2001,365
Eistland,2001,36
Spánn,2001,89
Frakkland,2001,130
Bretland,2001,330
Grikkland,2001,4
Ungverjaland,2001,31
Írland,2001,36
Ítalía,2001,67
Litháen (Lietuva),2001,168
Lúxemborg,2001,2
Lettland,2001,41
Malta,2001,1
Holland (Niðurland),2001,98
Pólland,2001,1271
Portúgal,2001,93
Rúmenía,2001,40
Slóvenía,2001,10
Slóvakía,2001,24
Andorra,2001,0
Albanía,2001,13
Bosnia og Herzegovina,2001,43
Hvíta-Rússland,2001,15
Sviss,2001,20
Serbía og Svartfjallaland,2001,0
Króatía,2001,61
Liechtenstein,2001,0
Moldóva,2001,4
Montenegró (Svartfjallaland),2001,0
Norður Makedónía,2001,12
Serbía,2001,0
Rússland,2001,124
San Marínó,2001,0
Fyrrum Sovétríki,2001,1
Úkraína,2001,54
Kósovó,2001,0
Evrópa ótilgreint,2001,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2001,0
Júgóslavía (Serbía og Svartfjallaland),2001,288
Kanada,2001,71
Bandaríkin,2001,428
Antigua og Barbuda,2001,0
Argentína,2001,8
Barbados,2001,1
Bólivía,2001,4
Brasilía,2001,19
Bahamaeyjar,2001,0
Belize,2001,1
Chile,2001,30
Colombia,2001,22
Costa Rica,2001,4
Kúba,2001,10
Dóminíka,2001,0
Dóminíska lýðveldið,2001,4
Ekvador,2001,6
Grenada,2001,0
Guatemala,2001,3
Guyana,2001,6
Hondúras,2001,12
Haítí,2001,0
Jamaíka,2001,3
Sankti Kitts og Nevis,2001,0
Mexíkó,2001,21
Nicaragua,2001,1
Panama,2001,1
Perú,2001,26
Puerto Rico,2001,1
Paraguay,2001,0
Súrinam,2001,0
El Salvador,2001,1
Trínidad og Tóbagó,2001,2
Uruguay,2001,2
Sankti Vinsent og Grenadínur,2001,0
Venesúela,2001,5
Angóla,2001,5
Búrkína Fasó,2001,0
Benín,2001,0
Botswana,2001,0
"Kongó, Lýðstjórnarlýðveldið",2001,1
"Kongó, Lýðveldið",2001,1
Côte d'Ivoire (Fílabeinsströndin),2001,0
Kamerún,2001,1
Cabo Verde (Grænhöfðaeyjar),2001,12
Djibútí,2001,0
Alsír,2001,11
Egyptaland,2001,7
Vestur-Sahara,2001,0
Eritrea,2001,0
Eþíópía,2001,14
Gabon,2001,0
Ghana,2001,15
Gambía,2001,2
Gínea,2001,6
Miðbaugs-Gínea,2001,0
Gínea-Bissaú,2001,1
Kenya,2001,9
Sankti Lúsía,2001,0
Líbería,2001,0
Lesótó,2001,0
Líbía,2001,0
Marokkó,2001,46
Madagaskar,2001,1
Malí,2001,0
Máritanía,2001,0
Máritíus,2001,3
Malaví,2001,0
Mósambík,2001,1
Namibía,2001,7
Níger,2001,0
Nígería,2001,28
Rwanda,2001,1
Seychelles-eyjar,2001,0
Súdan,2001,0
Síerra Leóne,2001,8
Senegal,2001,5
Sómalía,2001,1
Suður-Súdan,2001,0
Chad,2001,0
Tógó,2001,0
Túnis,2001,6
Tansanía,2001,2
Úganda,2001,3
Suður-Afríka,2001,27
Zambia,2001,3
Saír,2001,0
Zimbabwe,2001,1
Afganistan,2001,0
Armenía,2001,1
Azerbaijan,2001,0
Bangladesh,2001,0
Kína,2001,111
Georgía,2001,8
Indónesía,2001,9
Ísrael,2001,4
Indland,2001,30
Írak,2001,10
Íran,2001,6
Jórdanía,2001,9
Japan,2001,24
Kyrgyzstan,2001,0
Kambódía,2001,1
"Kórea, Norður-",2001,0
"Kórea, Suður-",2001,5
Kasakstan,2001,3
Laos,2001,0
Líbanon,2001,3
Srí Lanka,2001,23
Myanmar,2001,0
Mongólía,2001,9
Maldívur,2001,0
Malasía,2001,6
Nepal,2001,14
Óman,2001,0
Filippseyjar,2001,402
Pakistan,2001,8
Palestína,2001,0
Sádi-Arabía,2001,0
Singapore,2001,6
Sýrland,2001,7
Thailand,2001,351
Tadsíkistan,2001,0
Tímor-Leste,2001,0
Túrkmenistan,2001,0
Tyrkland,2001,12
Taiwan,2001,3
Úsbekistan,2001,0
Víetnam,2001,89
Jemen,2001,0
Ástralía,2001,31
Fiji,2001,0
Naúrú,2001,0
Nýja-Sjáland,2001,22
Papúa Nýja-Gínea,2001,0
Salómonseyjar,2001,0
Tonga,2001,0
Vanúatú,2001,0
"Útlönd, ótilgreint land",2001,2
Ríkisfangslaus,2001,6
Ísland,2002,148608
Danmörk,2002,629
Finnland,2002,87
Noregur,2002,224
Svíþjóð,2002,251
Austurríki,2002,40
Belgía,2002,42
Búlgaría,2002,50
Kýpur,2002,0
Tékkland,2002,31
Þýskaland,2002,457
Eistland,2002,47
Spánn,2002,102
Frakkland,2002,152
Bretland,2002,372
Grikkland,2002,9
Ungverjaland,2002,32
Írland,2002,40
Ítalía,2002,82
Litháen (Lietuva),2002,264
Lúxemborg,2002,3
Lettland,2002,58
Malta,2002,1
Holland (Niðurland),2002,107
Pólland,2002,1429
Portúgal,2002,100
Rúmenía,2002,50
Slóvenía,2002,8
Slóvakía,2002,39
Andorra,2002,0
Albanía,2002,19
Bosnia og Herzegovina,2002,50
Hvíta-Rússland,2002,14
Sviss,2002,23
Serbía og Svartfjallaland,2002,0
Króatía,2002,58
Liechtenstein,2002,0
Moldóva,2002,4
Montenegró (Svartfjallaland),2002,0
Norður Makedónía,2002,14
Serbía,2002,0
Rússland,2002,154
San Marínó,2002,0
Fyrrum Sovétríki,2002,1
Úkraína,2002,69
Kósovó,2002,0
Evrópa ótilgreint,2002,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2002,0
Júgóslavía (Serbía og Svartfjallaland),2002,344
Kanada,2002,65
Bandaríkin,2002,451
Antigua og Barbuda,2002,0
Argentína,2002,12
Barbados,2002,1
Bólivía,2002,4
Brasilía,2002,17
Bahamaeyjar,2002,0
Belize,2002,1
Chile,2002,31
Colombia,2002,22
Costa Rica,2002,4
Kúba,2002,11
Dóminíka,2002,0
Dóminíska lýðveldið,2002,7
Ekvador,2002,10
Grenada,2002,0
Guatemala,2002,3
Guyana,2002,5
Hondúras,2002,16
Haítí,2002,0
Jamaíka,2002,4
Sankti Kitts og Nevis,2002,0
Mexíkó,2002,20
Nicaragua,2002,2
Panama,2002,1
Perú,2002,29
Puerto Rico,2002,1
Paraguay,2002,2
Súrinam,2002,0
El Salvador,2002,3
Trínidad og Tóbagó,2002,2
Uruguay,2002,2
Sankti Vinsent og Grenadínur,2002,0
Venesúela,2002,5
Angóla,2002,6
Búrkína Fasó,2002,0
Benín,2002,0
Botswana,2002,0
"Kongó, Lýðstjórnarlýðveldið",2002,1
"Kongó, Lýðveldið",2002,1
Côte d'Ivoire (Fílabeinsströndin),2002,1
Kamerún,2002,1
Cabo Verde (Grænhöfðaeyjar),2002,10
Djibútí,2002,0
Alsír,2002,12
Egyptaland,2002,7
Vestur-Sahara,2002,0
Eritrea,2002,0
Eþíópía,2002,17
Gabon,2002,0
Ghana,2002,21
Gambía,2002,5
Gínea,2002,6
Miðbaugs-Gínea,2002,1
Gínea-Bissaú,2002,1
Kenya,2002,14
Sankti Lúsía,2002,0
Líbería,2002,0
Lesótó,2002,0
Líbía,2002,0
Marokkó,2002,52
Madagaskar,2002,0
Malí,2002,0
Máritanía,2002,0
Máritíus,2002,2
Malaví,2002,0
Mósambík,2002,1
Namibía,2002,12
Níger,2002,0
Nígería,2002,25
Rwanda,2002,1
Seychelles-eyjar,2002,0
Súdan,2002,0
Síerra Leóne,2002,9
Senegal,2002,6
Sómalía,2002,1
Suður-Súdan,2002,0
Chad,2002,0
Tógó,2002,0
Túnis,2002,9
Tansanía,2002,2
Úganda,2002,3
Suður-Afríka,2002,30
Zambia,2002,1
Saír,2002,0
Zimbabwe,2002,1
Afganistan,2002,3
Armenía,2002,1
Azerbaijan,2002,1
Bangladesh,2002,0
Kína,2002,110
Georgía,2002,12
Indónesía,2002,13
Ísrael,2002,4
Indland,2002,41
Írak,2002,10
Íran,2002,3
Jórdanía,2002,8
Japan,2002,26
Kyrgyzstan,2002,0
Kambódía,2002,1
"Kórea, Norður-",2002,0
"Kórea, Suður-",2002,6
Kasakstan,2002,3
Laos,2002,0
Líbanon,2002,5
Srí Lanka,2002,30
Myanmar,2002,0
Mongólía,2002,6
Maldívur,2002,0
Malasía,2002,7
Nepal,2002,19
Óman,2002,0
Filippseyjar,2002,456
Pakistan,2002,8
Palestína,2002,0
Sádi-Arabía,2002,0
Singapore,2002,6
Sýrland,2002,7
Thailand,2002,391
Tadsíkistan,2002,0
Tímor-Leste,2002,0
Túrkmenistan,2002,0
Tyrkland,2002,20
Taiwan,2002,3
Úsbekistan,2002,0
Víetnam,2002,120
Jemen,2002,0
Ástralía,2002,33
Fiji,2002,0
Naúrú,2002,0
Nýja-Sjáland,2002,20
Papúa Nýja-Gínea,2002,0
Salómonseyjar,2002,0
Tonga,2002,0
Vanúatú,2002,0
"Útlönd, ótilgreint land",2002,2
Ríkisfangslaus,2002,20
Ísland,2003,149676
Danmörk,2003,590
Finnland,2003,78
Noregur,2003,224
Svíþjóð,2003,241
Austurríki,2003,47
Belgía,2003,45
Búlgaría,2003,55
Kýpur,2003,0
Tékkland,2003,35
Þýskaland,2003,490
Eistland,2003,50
Spánn,2003,119
Frakkland,2003,146
Bretland,2003,359
Grikkland,2003,8
Ungverjaland,2003,36
Írland,2003,37
Ítalía,2003,87
Litháen (Lietuva),2003,291
Lúxemborg,2003,3
Lettland,2003,70
Malta,2003,1
Holland (Niðurland),2003,114
Pólland,2003,1504
Portúgal,2003,85
Rúmenía,2003,56
Slóvenía,2003,6
Slóvakía,2003,38
Andorra,2003,0
Albanía,2003,19
Bosnia og Herzegovina,2003,55
Hvíta-Rússland,2003,13
Sviss,2003,24
Serbía og Svartfjallaland,2003,0
Króatía,2003,52
Liechtenstein,2003,0
Moldóva,2003,6
Montenegró (Svartfjallaland),2003,0
Norður Makedónía,2003,16
Serbía,2003,0
Rússland,2003,162
San Marínó,2003,0
Fyrrum Sovétríki,2003,0
Úkraína,2003,79
Kósovó,2003,0
Evrópa ótilgreint,2003,1
"Ríki í fyrrum Júgóslavíu, ótilgreint",2003,0
Júgóslavía (Serbía og Svartfjallaland),2003,368
Kanada,2003,62
Bandaríkin,2003,427
Antigua og Barbuda,2003,0
Argentína,2003,7
Barbados,2003,1
Bólivía,2003,3
Brasilía,2003,19
Bahamaeyjar,2003,0
Belize,2003,1
Chile,2003,32
Colombia,2003,26
Costa Rica,2003,3
Kúba,2003,15
Dóminíka,2003,0
Dóminíska lýðveldið,2003,6
Ekvador,2003,8
Grenada,2003,0
Guatemala,2003,3
Guyana,2003,4
Hondúras,2003,12
Haítí,2003,0
Jamaíka,2003,4
Sankti Kitts og Nevis,2003,0
Mexíkó,2003,22
Nicaragua,2003,4
Panama,2003,1
Perú,2003,26
Puerto Rico,2003,1
Paraguay,2003,2
Súrinam,2003,0
El Salvador,2003,3
Trínidad og Tóbagó,2003,2
Uruguay,2003,2
Sankti Vinsent og Grenadínur,2003,0
Venesúela,2003,8
Angóla,2003,6
Búrkína Fasó,2003,0
Benín,2003,0
Botswana,2003,0
"Kongó, Lýðstjórnarlýðveldið",2003,1
"Kongó, Lýðveldið",2003,0
Côte d'Ivoire (Fílabeinsströndin),2003,1
Kamerún,2003,0
Cabo Verde (Grænhöfðaeyjar),2003,10
Djibútí,2003,0
Alsír,2003,10
Egyptaland,2003,7
Vestur-Sahara,2003,0
Eritrea,2003,0
Eþíópía,2003,19
Gabon,2003,0
Ghana,2003,19
Gambía,2003,4
Gínea,2003,7
Miðbaugs-Gínea,2003,1
Gínea-Bissaú,2003,0
Kenya,2003,12
Sankti Lúsía,2003,0
Líbería,2003,0
Lesótó,2003,0
Líbía,2003,0
Marokkó,2003,60
Madagaskar,2003,0
Malí,2003,0
Máritanía,2003,0
Máritíus,2003,3
Malaví,2003,0
Mósambík,2003,2
Namibía,2003,12
Níger,2003,0
Nígería,2003,27
Rwanda,2003,1
Seychelles-eyjar,2003,0
Súdan,2003,0
Síerra Leóne,2003,7
Senegal,2003,5
Sómalía,2003,1
Suður-Súdan,2003,0
Chad,2003,0
Tógó,2003,0
Túnis,2003,8
Tansanía,2003,1
Úganda,2003,2
Suður-Afríka,2003,32
Zambia,2003,1
Saír,2003,1
Zimbabwe,2003,1
Afganistan,2003,3
Armenía,2003,1
Azerbaijan,2003,1
Bangladesh,2003,0
Kína,2003,125
Georgía,2003,13
Indónesía,2003,16
Ísrael,2003,8
Indland,2003,39
Írak,2003,8
Íran,2003,4
Jórdanía,2003,8
Japan,2003,28
Kyrgyzstan,2003,1
Kambódía,2003,3
"Kórea, Norður-",2003,0
"Kórea, Suður-",2003,5
Kasakstan,2003,4
Laos,2003,0
Líbanon,2003,4
Srí Lanka,2003,28
Myanmar,2003,0
Mongólía,2003,10
Maldívur,2003,0
Malasía,2003,8
Nepal,2003,30
Óman,2003,0
Filippseyjar,2003,473
Pakistan,2003,8
Palestína,2003,0
Sádi-Arabía,2003,0
Singapore,2003,5
Sýrland,2003,7
Thailand,2003,396
Tadsíkistan,2003,0
Tímor-Leste,2003,0
Túrkmenistan,2003,0
Tyrkland,2003,20
Taiwan,2003,3
Úsbekistan,2003,2
Víetnam,2003,135
Jemen,2003,0
Ástralía,2003,31
Fiji,2003,0
Naúrú,2003,0
Nýja-Sjáland,2003,18
Papúa Nýja-Gínea,2003,0
Salómonseyjar,2003,0
Tonga,2003,0
Vanúatú,2003,0
"Útlönd, ótilgreint land",2003,2
Ríkisfangslaus,2003,18
Ísland,2004,150934
Danmörk,2004,557
Finnland,2004,72
Noregur,2004,233
Svíþjóð,2004,257
Austurríki,2004,43
Belgía,2004,39
Búlgaría,2004,54
Kýpur,2004,0
Tékkland,2004,34
Þýskaland,2004,443
Eistland,2004,52
Spánn,2004,102
